entry,exit,total_return,annualized,max_dd,trades,win_rate,calmar
MACD金叉,移动止盈/双均线死叉,-2.38,-0.23,-45.39,45,37.78,-0.01
MACD金叉,移动止盈&双均线死叉,39.55,3.17,-48.66,15,40.0,0.07
MACD金叉,唐奇安下轨/双均线死叉,25.15,2.13,-31.03,58,37.93,0.07
MACD金叉,唐奇安下轨&双均线死叉,53.29,4.09,-51.02,25,28.0,0.08
MACD金叉,跌破均线/吊灯ATR/移动止盈,-0.08,-0.01,-38.45,69,30.43,-0.0
MACD金叉,跌破均线&吊灯ATR&移动止盈,30.54,2.53,-45.06,20,45.0,0.06
MACD金叉,跌破均线/吊灯ATR/唐奇安下轨,-0.08,-0.01,-38.45,69,30.43,-0.0
MACD金叉,跌破均线&吊灯ATR&唐奇安下轨,44.71,3.53,-35.07,41,31.71,0.1
MACD金叉,跌破均线/吊灯ATR/双均线死叉,4.83,0.44,-37.01,71,36.62,0.01
MACD金叉,跌破均线&吊灯ATR&双均线死叉,48.96,3.81,-51.37,24,33.33,0.07
MACD金叉,跌破均线/移动止盈/唐奇安下轨,1.77,0.16,-38.73,68,30.88,0.0
MACD金叉,跌破均线&移动止盈&唐奇安下轨,39.89,3.2,-39.97,19,47.37,0.08
MACD金叉,跌破均线/移动止盈/双均线死叉,12.05,1.07,-37.3,70,37.14,0.03
MACD金叉,跌破均线&移动止盈&双均线死叉,36.79,2.98,-50.3,14,35.71,0.06
MACD金叉,跌破均线/唐奇安下轨/双均线死叉,12.05,1.07,-37.3,70,37.14,0.03
MACD金叉,跌破均线&唐奇安下轨&双均线死叉,53.29,4.09,-51.02,25,28.0,0.08
MACD金叉,吊灯ATR/移动止盈/唐奇安下轨,29.5,2.45,-35.73,56,30.36,0.07
MACD金叉,吊灯ATR&移动止盈&唐奇安下轨,39.89,3.2,-39.97,19,47.37,0.08
MACD金叉,吊灯ATR/移动止盈/双均线死叉,-3.41,-0.33,-41.44,58,34.48,-0.01
MACD金叉,吊灯ATR&移动止盈&双均线死叉,39.55,3.17,-48.66,15,40.0,0.07
MACD金叉,吊灯ATR/唐奇安下轨/双均线死叉,4.17,0.38,-36.93,63,38.1,0.01
MACD金叉,吊灯ATR&唐奇安下轨&双均线死叉,39.62,3.18,-52.08,22,27.27,0.06
MACD金叉,移动止盈/唐奇安下轨/双均线死叉,25.15,2.13,-31.03,58,37.93,0.07
MACD金叉,移动止盈&唐奇安下轨&双均线死叉,33.42,2.74,-51.65,13,38.46,0.05
MACD金叉,跌破均线/吊灯ATR/移动止盈/唐奇安下轨,-0.08,-0.01,-38.45,69,30.43,-0.0
MACD金叉,跌破均线&吊灯ATR&移动止盈&唐奇安下轨,39.89,3.2,-39.97,19,47.37,0.08
MACD金叉,跌破均线/吊灯ATR/移动止盈/双均线死叉,4.83,0.44,-37.01,71,36.62,0.01
MACD金叉,跌破均线&吊灯ATR&移动止盈&双均线死叉,36.79,2.98,-50.3,14,35.71,0.06
MACD金叉,跌破均线/吊灯ATR/唐奇安下轨/双均线死叉,4.83,0.44,-37.01,71,36.62,0.01
MACD金叉,跌破均线&吊灯ATR&唐奇安下轨&双均线死叉,39.62,3.18,-52.08,22,27.27,0.06
MACD金叉,跌破均线/移动止盈/唐奇安下轨/双均线死叉,12.05,1.07,-37.3,70,37.14,0.03
MACD金叉,跌破均线&移动止盈&唐奇安下轨&双均线死叉,33.42,2.74,-51.65,13,38.46,0.05
MACD金叉,吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,4.17,0.38,-36.93,63,38.1,0.01
MACD金叉,吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,33.42,2.74,-51.65,13,38.46,0.05
MACD金叉,跌破均线/吊灯ATR/移动止盈/唐奇安下轨/双均线死叉,4.83,0.44,-37.01,71,36.62,0.01
MACD金叉,跌破均线&吊灯ATR&移动止盈&唐奇安下轨&双均线死叉,33.42,2.74,-51.65,13,38.46,0.05
量价突破,跌破均线,38.22,3.08,-13.95,8,50.0,0.22
量价突破,吊灯ATR,25.44,2.15,-19.35,8,50.0,0.11
量价突破,移动止盈,11.7,1.04,-27.22,7,57.14,0.04
量价突破,唐奇安下轨,44.93,3.54,-13.95,8,62.5,0.25
量价突破,双均线死叉,88.87,6.14,-18.26,8,62.5,0.34
量价突破,跌破均线/吊灯ATR,40.22,3.22,-11.2,8,62.5,0.29
量价突破,跌破均线&吊灯ATR,23.64,2.01,-19.44,8,37.5,0.1
量价突破,跌破均线/移动止盈,33.0,2.71,-12.5,8,50.0,0.22
量价突破,跌破均线&移动止盈,14.73,1.3,-27.22,7,57.14,0.05
量价突破,跌破均线/唐奇安下轨,38.22,3.08,-13.95,8,50.0,0.22
量价突破,跌破均线&唐奇安下轨,44.93,3.54,-13.95,8,62.5,0.25
量价突破,跌破均线/双均线死叉,16.46,1.44,-11.2,11,45.45,0.13
量价突破,跌破均线&双均线死叉,104.61,6.94,-18.53,4,75.0,0.37
量价突破,吊灯ATR/移动止盈,25.44,2.15,-19.35,8,50.0,0.11
量价突破,吊灯ATR&移动止盈,11.7,1.04,-27.22,7,57.14,0.04
量价突破,吊灯ATR/唐奇安下轨,45.64,3.59,-11.45,8,62.5,0.31
量价突破,吊灯ATR&唐奇安下轨,24.22,2.05,-20.49,8,50.0,0.1
量价突破,吊灯ATR/双均线死叉,12.45,1.11,-18.61,11,45.45,0.06
量价突破,吊灯ATR&双均线死叉,110.87,7.24,-18.26,4,75.0,0.4
量价突破,移动止盈/唐奇安下轨,39.92,3.2,-12.5,8,62.5,0.26
量价突破,移动止盈&唐奇安下轨,9.85,0.88,-28.62,7,57.14,0.03
量价突破,移动止盈/双均线死叉,20.29,1.75,-25.17,10,50.0,0.07
量价突破,移动止盈&双均线死叉,91.98,6.31,-19.16,4,75.0,0.33
量价突破,唐奇安下轨/双均线死叉,17.97,1.56,-12.36,11,54.55,0.13
量价突破,唐奇安下轨&双均线死叉,83.64,5.86,-18.53,4,75.0,0.32
量价突破,跌破均线/吊灯ATR/移动止盈,40.22,3.22,-11.2,8,62.5,0.29
量价突破,跌破均线&吊灯ATR&移动止盈,14.73,1.3,-27.22,7,57.14,0.05
量价突破,跌破均线/吊灯ATR/唐奇安下轨,40.22,3.22,-11.2,8,62.5,0.29
量价突破,跌破均线&吊灯ATR&唐奇安下轨,24.22,2.05,-20.49,8,50.0,0.1
量价突破,跌破均线/吊灯ATR/双均线死叉,17.01,1.48,-11.11,11,54.55,0.13
量价突破,跌破均线&吊灯ATR&双均线死叉,104.42,6.93,-18.53,4,75.0,0.37
量价突破,跌破均线/移动止盈/唐奇安下轨,33.0,2.71,-12.5,8,50.0,0.22
量价突破,跌破均线&移动止盈&唐奇安下轨,9.85,0.88,-28.62,7,57.14,0.03
量价突破,跌破均线/移动止盈/双均线死叉,16.46,1.44,-11.2,11,45.45,0.13
量价突破,跌破均线&移动止盈&双均线死叉,92.15,6.31,-19.16,4,75.0,0.33
量价突破,跌破均线/唐奇安下轨/双均线死叉,16.46,1.44,-11.2,11,45.45,0.13
量价突破,跌破均线&唐奇安下轨&双均线死叉,83.64,5.86,-18.53,4,75.0,0.32
量价突破,吊灯ATR/移动止盈/唐奇安下轨,45.64,3.59,-11.45,8,62.5,0.31
量价突破,吊灯ATR&移动止盈&唐奇安下轨,9.85,0.88,-28.62,7,57.14,0.03
量价突破,吊灯ATR/移动止盈/双均线死叉,12.45,1.11,-18.61,11,45.45,0.06
量价突破,吊灯ATR&移动止盈&双均线死叉,91.98,6.31,-19.16,4,75.0,0.33
量价突破,吊灯ATR/唐奇安下轨/双均线死叉,17.01,1.48,-11.11,11,54.55,0.13
量价突破,吊灯ATR&唐奇安下轨&双均线死叉,83.08,5.83,-18.53,4,75.0,0.31
量价突破,移动止盈/唐奇安下轨/双均线死叉,17.97,1.56,-12.36,11,54.55,0.13
量价突破,移动止盈&唐奇安下轨&双均线死叉,72.39,5.24,-20.72,4,75.0,0.25
量价突破,跌破均线/吊灯ATR/移动止盈/唐奇安下轨,40.22,3.22,-11.2,8,62.5,0.29
量价突破,跌破均线&吊灯ATR&移动止盈&唐奇安下轨,9.85,0.88,-28.62,7,57.14,0.03
量价突破,跌破均线/吊灯ATR/移动止盈/双均线死叉,17.01,1.48,-11.11,11,54.55,0.13
量价突破,跌破均线&吊灯ATR&移动止盈&双均线死叉,92.15,6.31,-19.16,4,75.0,0.33
量价突破,跌破均线/吊灯ATR/唐奇安下轨/双均线死叉,17.01,1.48,-11.11,11,54.55,0.13
